"Visitor","choice1","choice2","choice3","choice4","choice5"
"V194","Tour09","Tour30","Tour01","Tour19","Tour03"
"V195","Tour01","Tour03","Tour09","Tour20","Tour12"
"V196","Tour28","Tour08","Tour15","Tour10","Tour16"
"V197","Tour28","Tour24","Tour19","Tour03","Tour05"
"V198","Tour04","Tour03","Tour05","Tour19","Tour20"
"V199","Tour01","Tour24","Tour28","Tour29","Tour30"
"V200","Tour13","Tour23","Tour06","Tour14","Tour28"
"V201","Tour26","Tour22","Tour18","Tour27","Tour12"
"V202","Tour04","Tour19","Tour20","Tour23","Tour26"
"V203","Tour16","Tour26","Tour29","Tour28","Tour27"
"V204","Tour26","Tour01","Tour09","Tour12","Tour03"
"V205","Tour19","Tour03","Tour04","Tour01","Tour26"
"V206","Tour07","Tour15","Tour26","Tour01","Tour08"
"V207","Tour09","Tour12","Tour03","Tour14","Tour04"
"V208","Tour01","Tour03","Tour04","Tour23","Tour24"
"V209","Tour16","Tour22","Tour09","Tour25","Tour02"
"V210","Tour16","Tour22","Tour09","Tour25","Tour02"
"V211","Tour29","Tour18","Tour15","Tour27","Tour26"
"V212","Tour16","Tour06","Tour27","Tour14","Tour25"
"V213","Tour01","Tour03","Tour24","Tour19","Tour12"
"V214","Tour30","Tour16","Tour04","Tour03","Tour26"
"V215","Tour24","Tour01","Tour09","Tour20","Tour23"
"V216","Tour16","Tour15","Tour27","Tour25","Tour26"
"V217","Tour03","Tour28","Tour30","Tour09","Tour15"
"V218","Tour09","Tour12","Tour20","Tour21","Tour19"
"V219","Tour28","Tour01","Tour09","Tour14","Tour16"
"V220","Tour30","Tour19","Tour27","Tour26","Tour07"
"V221","Tour30","Tour09","Tour03","Tour10","Tour19"
"V222","Tour10","Tour25","Tour02","Tour22","Tour27"
"V223","Tour26","Tour27","Tour09","Tour03","Tour16"
"V224","Tour08","Tour23","Tour18","Tour07","Tour26"
"V225","Tour01","Tour20","Tour30","Tour24","Tour13"
"V226","Tour26","Tour09","Tour04","Tour19","Tour03"
"V227","Tour03","Tour08","Tour16","Tour10","Tour22"
"V228","Tour28","Tour17","Tour23","Tour18","Tour01"
"V229","Tour30","Tour20","Tour12","Tour04","Tour09"
"V230","Tour09","Tour20","Tour03","Tour27","Tour16"
"V231","Tour24","Tour09","Tour12","Tour01","Tour03"
"V232","Tour14","Tour26","Tour27","Tour28","Tour07"
"V233","Tour28","Tour24","Tour01","Tour22","Tour26"
"V234","Tour04","Tour26","Tour23","Tour09","Tour19"
"V235","Tour19","Tour09","Tour03","Tour04","Tour21"
"V236","Tour21","Tour23","Tour16","Tour06","Tour04"
"V237","Tour26","Tour03","Tour12","Tour09","Tour22"
"V238","Tour06","Tour14","Tour17","Tour16","Tour10"
"V239","Tour26","Tour19","Tour23","Tour09","Tour08"
"V240","Tour03","Tour19","Tour04","Tour09","Tour20"
"V241","Tour03","Tour30","Tour04","Tour09","Tour12"
"V242","Tour01","Tour09","Tour12","Tour23","Tour04"
"V243","Tour12","Tour20","Tour30","Tour03","Tour09"
"V244","Tour26","Tour01","Tour09","Tour03","Tour27"
"V245","Tour26","Tour14","Tour10","Tour06","Tour15"
"V246","Tour28","Tour21","Tour20","Tour16","Tour26"
"V247","Tour28","Tour26","Tour24","Tour02","Tour11"
"V248","Tour12","Tour09","Tour03","Tour20","Tour30"
"V249","Tour30","Tour28","Tour11","Tour24","Tour27"
"V250","Tour26","Tour15","Tour27","Tour22","Tour07"
"V251","Tour11","Tour30","Tour10","Tour28","Tour02"
"V252","Tour16","Tour22","Tour25","Tour26","Tour27"
"V253","Tour04","Tour01","Tour24","Tour09","Tour13"
"V254","Tour03","Tour28","Tour04","Tour23","Tour08"
"V255","Tour27","Tour26","Tour18","Tour17","Tour29"
"V256","Tour15","Tour04","Tour08","Tour29","Tour16"
"V257","Tour01","Tour09","Tour25","Tour20","Tour27"
"V258","Tour30","Tour04","Tour11","Tour26","Tour15"
"V259","Tour12","Tour02","Tour09","Tour19","Tour01"
"V260","Tour07","Tour09","Tour26","Tour27","Tour12"
"V261","Tour26","Tour15","Tour22","Tour18","Tour16"
"V262","Tour26","Tour19","Tour23","Tour09","Tour04"
"V263","Tour27","Tour26","Tour18","Tour22","Tour07"
"V264","Tour01","Tour20","Tour09","Tour03","Tour04"
"V265","Tour26","Tour03","Tour12","Tour04","Tour09"
"V266","Tour23","Tour28","Tour04","Tour08","Tour07"
"V267","Tour28","Tour26","Tour29","Tour01","Tour09"
"V268","Tour04","Tour03","Tour09","Tour01","Tour20"
"V269","Tour27","Tour26","Tour07","Tour22","Tour15"
"V270","Tour06","Tour14","Tour09","Tour13","Tour17"
"V271","Tour16","Tour27","Tour09","Tour04","Tour07"
"V272","Tour16","Tour25","Tour23","Tour22","Tour28"
"V273","Tour01","Tour03","Tour09","Tour04","Tour29"
"V274","Tour23","Tour09","Tour04","Tour03","Tour06"
"V275","Tour13","Tour23","Tour28","Tour14","Tour24"
"V276","Tour23","Tour09","Tour20","Tour19","Tour04"
"V277","Tour02","Tour12","Tour20","Tour19","Tour03"
"V278","Tour01","Tour03","Tour11","Tour23","Tour04"
"V279","Tour01","Tour24","Tour26","Tour03","Tour12"
"V280","Tour24","Tour15","Tour28","Tour27","Tour03"
"V281","Tour01","Tour03","Tour21","Tour09","Tour19"
"V282","Tour27","Tour26","Tour04","Tour09","Tour24"
"V283","Tour29","Tour18","Tour27","Tour08","Tour25"
"V284","Tour26","Tour22","Tour15","Tour18","Tour27"
"V285","Tour29","Tour18","Tour05","Tour15","Tour27"
"V286","Tour08","Tour22","Tour15","Tour29","Tour28"
"V287","Tour16","Tour15","Tour18","Tour27","Tour05"
"V288","Tour04","Tour18","Tour19","Tour12","Tour09"
"V289","Tour15","Tour23","Tour25","Tour16","Tour02"
"V290","Tour15","Tour10","Tour30","Tour18","Tour05"
"V291","Tour04","Tour23","Tour13","Tour03","Tour09"
"V292","Tour01","Tour19","Tour30","Tour03","Tour15"
"V293","Tour12","Tour09","Tour04","Tour19","Tour03"
"V294","Tour01","Tour03","Tour09","Tour30","Tour17"
"V295","Tour03","Tour06","Tour04","Tour09","Tour25"
"V296","Tour19","Tour03","Tour21","Tour26","Tour12"
"V297","Tour27","Tour07","Tour30","Tour09","Tour15"
"V298","Tour03","Tour10","Tour28","Tour04","Tour13"
"V299","Tour16","Tour29","Tour08","Tour07","Tour27"
"V300","Tour18","Tour22","Tour25","Tour16","Tour06"
"V301","Tour01","Tour09","Tour24","Tour20","Tour19"
"V302","Tour28","Tour01","Tour24","Tour07","Tour27"
"V303","Tour28","Tour17","Tour14","Tour16","Tour24"
"V304","Tour04","Tour21","Tour23","Tour01","Tour03"
"V305","Tour09","Tour16","Tour25","Tour30","Tour13"
"V306","Tour04","Tour06","Tour09","Tour23","Tour26"
"V307","Tour04","Tour09","Tour03","Tour12","Tour23"
"V308","Tour24","Tour15","Tour27","Tour26","Tour16"
"V309","Tour07","Tour25","Tour15","Tour30","Tour18"
"V310","Tour01","Tour24","Tour26","Tour09","Tour12"
"V311","Tour01","Tour09","Tour26","Tour24","Tour12"
"V312","Tour23","Tour04","Tour13","Tour28","Tour03"
"V313","Tour28","Tour24","Tour03","Tour23","Tour04"
"V314","Tour28","Tour15","Tour04","Tour24","Tour26"
"V315","Tour04","Tour24","Tour03","Tour28","Tour14"
"V316","Tour21","Tour09","Tour04","Tour12","Tour15"
"V317","Tour24","Tour28","Tour01","Tour09","Tour04"
"V318","Tour04","Tour01","Tour09","Tour20","Tour27"
"V319","Tour04","Tour27","Tour03","Tour15",NA
"V320","Tour03","Tour04","Tour09","Tour13","Tour07"
"V321","Tour27","Tour09","Tour03","Tour23","Tour04"
"V322","Tour03","Tour04","Tour13","Tour26","Tour27"
"V323","Tour03","Tour04","Tour02","Tour09","Tour23"
"V324","Tour09","Tour03","Tour19","Tour01","Tour04"
"V325","Tour09","Tour03","Tour01","Tour04","Tour21"
"V326","Tour28","Tour20","Tour24","Tour02","Tour01"
"V327","Tour16","Tour03","Tour22","Tour01","Tour19"
"V328","Tour12","Tour07","Tour01","Tour03","Tour19"
"V329","Tour05","Tour23","Tour25","Tour08","Tour18"
"V330","Tour10","Tour29","Tour14","Tour07","Tour27"
"V331","Tour06","Tour08","Tour15","Tour25","Tour16"
"V332","Tour16","Tour26","Tour27","Tour25","Tour22"
"V333","Tour21","Tour03","Tour04","Tour26","Tour12"
"V334","Tour28","Tour23","Tour15","Tour10","Tour13"
"V335","Tour28","Tour16","Tour25","Tour27","Tour15"
"V336","Tour06","Tour14","Tour03","Tour15","Tour28"
"V337","Tour15","Tour07","Tour10","Tour11","Tour17"
"V338","Tour22","Tour08","Tour18","Tour27","Tour26"
"V339","Tour01","Tour09","Tour03","Tour21","Tour15"
"V340","Tour19","Tour03","Tour30","Tour12","Tour09"
"V341","Tour24","Tour01","Tour21","Tour26","Tour12"
"V342","Tour26","Tour30","Tour28","Tour10","Tour16"
"V343","Tour19","Tour03","Tour22","Tour02","Tour27"
"V344","Tour03","Tour09","Tour28","Tour01","Tour12"
"V345","Tour01","Tour13","Tour28","Tour26","Tour24"
"V346","Tour03","Tour21","Tour01","Tour04","Tour09"
"V347","Tour04","Tour03","Tour23","Tour21","Tour09"
"V348","Tour04","Tour03","Tour23","Tour09","Tour12"
"V349","Tour02","Tour10","Tour11","Tour22","Tour26"
"V350","Tour01","Tour20","Tour09","Tour30","Tour12"
"V351","Tour21","Tour24","Tour20","Tour03","Tour12"
"V352","Tour13","Tour22","Tour23","Tour25","Tour04"
"V353","Tour01","Tour30","Tour24","Tour03","Tour09"
"V354","Tour01","Tour12","Tour19","Tour21","Tour26"
"V355","Tour27","Tour26","Tour20","Tour03","Tour15"
"V356","Tour16","Tour24","Tour28","Tour01","Tour26"
"V357","Tour29","Tour17","Tour18","Tour27","Tour15"
"V358","Tour27","Tour09","Tour21","Tour07","Tour03"
"V359","Tour21","Tour16","Tour26","Tour01","Tour04"
"V360","Tour04","Tour23","Tour25","Tour22","Tour20"
"V361","Tour06","Tour26","Tour09","Tour13","Tour21"
"V362","Tour16","Tour28","Tour24","Tour26","Tour04"
"V363","Tour13","Tour07","Tour18","Tour26","Tour17"
"V364","Tour24","Tour23","Tour19","Tour20","Tour04"
"V365","Tour04","Tour23","Tour03","Tour01","Tour16"
"V366","Tour16","Tour25","Tour21","Tour29","Tour27"
"V367","Tour04","Tour23","Tour21","Tour10","Tour27"
"V368","Tour26","Tour22","Tour16","Tour07","Tour09"
"V369","Tour30","Tour13","Tour12","Tour20","Tour16"
"V370","Tour07","Tour15","Tour27","Tour24","Tour16"
"V371","Tour23","Tour04","Tour13","Tour02","Tour11"
"V372","Tour24","Tour21","Tour03","Tour01","Tour13"
"V373","Tour03","Tour01","Tour04","Tour16","Tour06"
"V374","Tour16","Tour09","Tour06","Tour20","Tour12"
"V375","Tour04","Tour23","Tour13","Tour18","Tour14"
"V376","Tour23","Tour22","Tour13","Tour04","Tour14"
"V377","Tour03","Tour19","Tour12","Tour20","Tour04"
"V378","Tour13","Tour04","Tour25","Tour23","Tour16"
"V379","Tour23","Tour13","Tour02","Tour04","Tour11"
"V380","Tour04","Tour17","Tour23","Tour28","Tour10"
"V381","Tour01","Tour24","Tour09","Tour26","Tour22"
"V382","Tour23","Tour04","Tour11","Tour19","Tour12"
"V383","Tour21","Tour06","Tour10","Tour04","Tour18"
"V384","Tour16","Tour17","Tour18","Tour23","Tour04"
"V385","Tour28","Tour24","Tour27","Tour01","Tour22"
"V386","Tour20","Tour12","Tour19","Tour21","Tour01"
"V387","Tour18","Tour16","Tour26","Tour14","Tour12"
"V388","Tour27","Tour25","Tour22","Tour26","Tour15"
"V389","Tour01","Tour03","Tour10","Tour28","Tour26"
"V390","Tour19","Tour21","Tour03","Tour20","Tour27"
"V391","Tour18","Tour05","Tour15","Tour26","Tour10"
"V392","Tour03","Tour04","Tour09","Tour19","Tour01"
"V393","Tour08","Tour22","Tour29","Tour07","Tour25"
"V394","Tour01","Tour03","Tour26","Tour09","Tour27"
"V395","Tour26","Tour27","Tour15","Tour22","Tour08"
"V396","Tour28","Tour04","Tour06","Tour23","Tour01"
"V397","Tour04","Tour03","Tour09","Tour15","Tour13"
"V398","Tour18","Tour22","Tour16","Tour15","Tour25"
"V399","Tour01","Tour12","Tour09","Tour24","Tour26"
"V400","Tour30","Tour09","Tour19","Tour26","Tour05"
"V401","Tour01","Tour08","Tour29","Tour16","Tour12"
"V402","Tour04","Tour08","Tour23","Tour09","Tour03"
"V403","Tour19","Tour03","Tour04","Tour10","Tour01"
"V404","Tour04","Tour09","Tour01","Tour23","Tour03"
"V405","Tour23","Tour04","Tour28","Tour10","Tour26"
"V406","Tour23","Tour04","Tour30","Tour22","Tour03"
"V407","Tour26","Tour18","Tour22","Tour27","Tour08"
"V408","Tour07","Tour27","Tour03","Tour08","Tour15"
"V409","Tour21","Tour15","Tour26","Tour01","Tour16"
"V410","Tour03","Tour04","Tour26","Tour30","Tour21"
"V411","Tour01","Tour12","Tour19","Tour20","Tour16"
"V412","Tour01","Tour24","Tour26","Tour20","Tour12"
"V413","Tour18","Tour27","Tour26","Tour25","Tour16"
"V414","Tour04","Tour12","Tour26","Tour09","Tour03"
"V415","Tour16","Tour25","Tour27","Tour26","Tour06"
"V416","Tour26","Tour22","Tour28","Tour02","Tour27"
"V417","Tour28","Tour01",NA,NA,NA
"V418","Tour18","Tour09","Tour04","Tour03","Tour21"
"V419","Tour24","Tour26","Tour21","Tour27","Tour01"
"V420","Tour04","Tour01","Tour09","Tour03","Tour15"
"V421","Tour30","Tour09","Tour21","Tour03","Tour02"
"V422","Tour01","Tour09","Tour03","Tour19","Tour12"
"V423","Tour01","Tour09","Tour03","Tour19","Tour12"
"V424","Tour04","Tour17","Tour28","Tour15","Tour09"
"V425","Tour04","Tour22","Tour26","Tour23","Tour13"
"V426","Tour06","Tour16","Tour14","Tour17","Tour08"
"V427","Tour06","Tour14","Tour17","Tour04","Tour23"
"V428","Tour26","Tour20","Tour19","Tour03","Tour09"
"V429","Tour24","Tour09","Tour01","Tour21","Tour28"
"V430","Tour27","Tour16","Tour28","Tour01","Tour24"
"V431","Tour01","Tour09","Tour20","Tour21","Tour26"
"V432","Tour23","Tour09","Tour04","Tour03","Tour28"
"V433","Tour01","Tour09","Tour24","Tour12","Tour03"
"V434","Tour01","Tour04","Tour09","Tour27","Tour16"
"V435","Tour18","Tour27","Tour26","Tour25","Tour16"
"V436","Tour28","Tour24","Tour12","Tour09","Tour03"
"V437","Tour01","Tour15","Tour21","Tour26","Tour20"
"V438","Tour27","Tour03","Tour21","Tour16","Tour29"
"V439","Tour28","Tour30","Tour03","Tour07","Tour15"
"V440","Tour21","Tour01","Tour26","Tour15","Tour23"
"V441","Tour04","Tour03","Tour20","Tour21","Tour23"
"V442","Tour04","Tour21","Tour03","Tour20","Tour12"
"V443","Tour04","Tour16","Tour18","Tour30","Tour27"
"V444","Tour04","Tour16","Tour18","Tour30","Tour27"
"V445","Tour28","Tour30","Tour29","Tour02","Tour26"
"V446","Tour30","Tour10","Tour21","Tour26","Tour01"
"V447","Tour13","Tour04","Tour16","Tour03","Tour20"
"V448","Tour01","Tour09","Tour21","Tour28","Tour19"
"V449","Tour14","Tour27","Tour18","Tour17","Tour26"
